"paper_id","year","title","authors","url","overlap","claimed_difference","status","last_checked"
"W01","2022","Adaptive Conformal Predictions for Time Series","Zaffran et al.","https://proceedings.mlr.press/v162/zaffran22a.html","Aggregated adaptive calibration","Must beat adaptive aggregation","critical_overlap","2026-09-05"
"W02","2023","Sequential Predictive Conformal Inference for Time Series","Xu and Xie","https://proceedings.mlr.press/v202/xu23r.html","Residual dependence and conditional efficiency","Must exceed existing residual forecasting","critical_overlap","2026-09-05"
"W03","2023","Market Implied Conformal Volatility Intervals","Canete","https://proceedings.mlr.press/v204/canete23a.html","Financial volatility scaling and calibration","Five-day return target alone is not novelty","critical_overlap","2026-09-05"
"W04","2024","Conformal Inference for Online Prediction with Arbitrary Distribution Shifts","Gibbs and Candes","https://jmlr.org/papers/v25/22-1218.html","Drift adaptation including financial volatility","Same-information transition benefit untested","critical_overlap","2026-09-05"
"W05","2024","Adaptive Conformal Inference for Multi-Step Ahead Time-Series Forecasting Online","Hallberg Szabadvary","https://proceedings.mlr.press/v230/hallberg-szabadvary24a.html","Maturity-aware multi-step ACI","Horizon delay alone is not new","critical_overlap","2026-09-05"
"W06","2026","Online conformal inference for multi-step time series forecasting","Wang and Hyndman","https://arxiv.org/html/2410.13115v2","AcMCP and multi-step PID","Daily auxiliary signal must add beyond these","critical_overlap_preprint","2026-09-05"
"W07","2025","Testing Marginal and Conditional Coverage in Conformal Prediction for Non-Stationary Time Series via Value-at-Risk Backtesting","Retzlaff et al.","https://proceedings.mlr.press/v266/retzlaff25a.html","Formal coverage and interval-score evaluation","Specific mechanism rather than generic audit","critical_overlap","2026-09-05"
"W08","2026","Heterogeneous-Horizon Conformal Ensembles for Online Prediction Under Distribution Shift: An Empirical Comparison with Strongly Adaptive Methods","Shahbazi and Baheri","https://www.mdpi.com/2571-9394/8/5/77","Multiscale extreme-regime coverage-width tradeoff","Auxiliary feedback only a candidate difference","critical_overlap_publisher_text_screened","2026-09-05"
"W09","2023","Conformal PID Control for Time Series Prediction","Angelopoulos et al.","https://papers.nips.cc/paper_files/paper/2023/hash/47f2fad8c1111d07f83c91be7870f8db-Abstract-Conference.html","Quantile control and error prediction","Rapid error correction already available","critical_overlap","2026-09-05"

