paper_id,year,title,authors,url,overlap,claimed_difference,status,last_checked
P001,2022,Quantitative Stock Investment by Routing Uncertainty-Aware Trading Experts,Shuo Sun; Rundong Wang; Bo An,https://arxiv.org/abs/2207.07578,Uncertainty-aware experts and dynamic routing,Delayed feedback selective-risk and attribution constraints,critical_baseline,2026-08-31
P002,2021,Trading via Selective Classification,Thomas Chalkidis; Rahul Savani,https://arxiv.org/abs/2110.14914,Abstaining from low-confidence trades,Dual-timescale validity and expert routing,close_prior,2026-08-31
P003,2024,MIGA: Mixture-of-Experts with Group Aggregation for Stock Market Prediction,Zhaojian Yu; Yinghao Wu; Genesis Wang; Heming Weng,https://arxiv.org/abs/2410.02241,Dynamic style-expert switching,Delayed controller and attribution-aware abstention,close_prior,2026-08-31
P004,2025,Automate Strategy Finding with LLM in Quant Investment,Zhizhuo Kou et al.,https://aclanthology.org/2025.findings-emnlp.1005/,Multi-agent market filtering and dynamic weighting,Formal selective deployment and delayed feedback,close_prior,2026-08-31
P005,2026,FinAbstain: Uncertainty-Calibrated Multimodal RAG for Selective Financial Forecasting,Dorothy Torres; Wei Cheng; Henan Huang,https://arxiv.org/abs/2607.24875,Point-in-time specialist agents calibration and abstention,Real empirical delayed-feedback and attribution-constrained tests; architecture is not ours,critical_overlap,2026-08-31
P006,2026,Regime-Gated Residual Mixture-of-Experts for Cross-Sectional Volatility Forecasting,Junyi Ye; Gargi Vijay Borde,https://arxiv.org/abs/2608.12251,Regime-gated residual routing,Rules out regime routing as novelty,critical_overlap,2026-08-31
P007,2026,From Knowing to Doing: A Memory-Controlled Benchmark for LLM Trading Agents on Stock Markets,Taojie Zhu et al.,https://arxiv.org/abs/2605.28359,Masking and Barra-style attribution,Adopt as evaluation hygiene not novelty,required_protocol,2026-08-31
P008,2025,Can LLM Agents Trade Stocks Profitably? StockBench,Chen et al.,https://arxiv.org/abs/2510.02209,Contamination-conscious longitudinal evaluation,Use negative findings and benchmark design,required_context,2026-08-31
P009,2026,AlphaQuanter: An End-to-End Tool-Augmented Agentic Reinforcement Learning Framework for Stock Trading,Zheye Deng; Weixiang Yan; Changlong Yu; Jiashu Wang,https://aclanthology.org/2026.findings-acl.456/,Agentic tool orchestration and active information acquisition,Rules out generic evidence acquisition as novelty,critical_overlap,2026-08-31

